"","actual_change.BA","change_pct.BA","sim_change","sim_change_due_to_workforce","sim_pct"
"1",479628,0.109472092750956,408098,55867,0.136896039676744
"2",-373604,-0.0768588755724495,326703,75400,0.230790656957542
"3",-727233,-0.162064535394853,376338,88639,0.235530294575621
"4",-501621,-0.133407285817931,422014,99841,0.23658219869483
"5",156094,0.0479043570088978,461765,108858,0.235743289335484
"6",-176124,-0.0515805180485248,545662,166298,0.304763754851905
"7",NA,NA,578148,175599,0.303726727412358
