"Variable","Time","Value","Flags"
"Total 65 and over","2000",479919,
"Total population","2000",3386667,
"Females 65 and over","2000",313069,
"Females Total","2000",1742092,
"Males 65 and over","2000",166850,
"Males Total","2000",1644575,
"Average population","2000",3384100,
"Total 0-14","2000",466032,
"Total 15-64","2000",2440716,
"Females 0-14","2000",226946,
"Females 15-64","2000",1202077,
"Males 0-14","2000",239086,
"Males 15-64","2000",1238639,
"Total 65 and over","2001",494096,
"Total population","2001",3382169,
"Females 65 and over","2001",317536,
"Females Total","2001",1738635,
"Males 65 and over","2001",176560,
"Males Total","2001",1643534,
"Average population","2001",3385100,
"Total 0-14","2001",454470,
"Total 15-64","2001",2433603,
"Females 0-14","2001",221268,
"Females 15-64","2001",1199831,
"Males 0-14","2001",233202,
"Males 15-64","2001",1233772,
"Total 65 and over","2002",508779,
"Total population","2002",3388434,
"Females 65 and over","2002",322064,
"Females Total","2002",1740265,
"Males 65 and over","2002",186715,
"Males Total","2002",1648169,
"Average population","2002",3390300,
"Total 0-14","2002",444147,
"Total 15-64","2002",2435508,
"Females 0-14","2002",216453,
"Females 15-64","2002",1201748,
"Males 0-14","2002",227694,
"Males 15-64","2002",1233760,
"Total 65 and over","2003",524227,
"Total population","2003",3392425,
"Females 65 and over","2003",327394,
"Females Total","2003",1740954,
"Males 65 and over","2003",196833,
"Males Total","2003",1651471,
"Average population","2003",3390500,
"Total 0-14","2003",433501,
"Total 15-64","2003",2434697,
"Females 0-14","2003",211133,
"Females 15-64","2003",1202427,
"Males 0-14","2003",222368,
"Males 15-64","2003",1232270,
"Total 65 and over","2004",541359,
"Total population","2004",3388477,
"Females 65 and over","2004",333335,
"Females Total","2004",1737274,
"Males 65 and over","2004",208024,
"Males Total","2004",1651203,
"Average population","2004",3388200,
"Total 0-14","2004",421859,
"Total 15-64","2004",2425259,
"Females 0-14","2004",205514,
"Females 15-64","2004",1198425,
"Males 0-14","2004",216345,
"Males 15-64","2004",1226834,
"Total 65 and over","2005",561900,
"Total population","2005",3387828,
"Females 65 and over","2005",341420,
"Females Total","2005",1734771,
"Males 65 and over","2005",220480,
"Males Total","2005",1653057,
"Average population","2005",3391500,
"Total 0-14","2005",412477,
"Total 15-64","2005",2413451,
"Females 0-14","2005",200910,
"Females 15-64","2005",1192441,
"Males 0-14","2005",211567,
"Males 15-64","2005",1221010,
"Total 65 and over","2006",585313,
"Total population","2006",3395189,
"Females 65 and over","2006",351053,
"Females Total","2006",1735546,
"Males 65 and over","2006",234260,
"Males Total","2006",1659643,
"Average population","2006",3399600,
"Total 0-14","2006",404667,
"Total 15-64","2006",2405209,
"Females 0-14","2006",196899,
"Females 15-64","2006",1187594,
"Males 0-14","2006",207768,
"Males 15-64","2006",1217615,
"Total 65 and over","2007",609989,
"Total population","2007",3404037,
"Females 65 and over","2007",361296,
"Females Total","2007",1738284,
"Males 65 and over","2007",248693,
"Males Total","2007",1665753,
"Average population","2007",3410100,
"Total 0-14","2007",403697,
"Total 15-64","2007",2390351,
"Females 0-14","2007",196649,
"Females 15-64","2007",1180339,
"Males 0-14","2007",207048,
"Males 15-64","2007",1210012,
"Total 65 and over","2008",627202,
"Total population","2008",3416255,
"Females 65 and over","2008",368161,
"Females Total","2008",1744029,
"Males 65 and over","2008",259041,
"Males Total","2008",1672226,
"Average population","2008",3416255,
"Total 0-14","2008",406135,
"Total 15-64","2008",2382918,
"Females 0-14","2008",197836,
"Females 15-64","2008",1178032,
"Males 0-14","2008",208299,
"Males 15-64","2008",1204886,
"Total 65 and over","2009",644673,
"Total population","2009",3431675,
"Females 65 and over","2009",375120,
"Females Total","2009",1751173,
"Males 65 and over","2009",269553,
"Males Total","2009",1680502,
"Total 0-14","2009",411149,
"Total 15-64","2009",2375853,
"Females 0-14","2009",200092,
"Females 15-64","2009",1175961,
"Males 0-14","2009",211057,
"Males 15-64","2009",1199892,
"Total 65 and over","1990",286365,
"Total population","1990",2641152,
"Females 65 and over","1990",194467,
"Females Total","1990",1359813,
"Males 65 and over","1990",91898,
"Males Total","1990",1281339,
"Average population","1990",2609725,
"Total 0-14","1990",537893,
"Total 15-64","1990",1789028,
"Females 0-14","1990",262184,
"Females 15-64","1990",882322,
"Males 0-14","1990",275709,
"Males 15-64","1990",906706,
"Total 65 and over","1991",312558,
"Total population","1991",2578298,
"Females 65 and over","1991",214189,
"Females Total","1991",1331854,
"Males 65 and over","1991",98369,
"Males Total","1991",1246444,
"Average population","1991",2560471.5,
"Total 0-14","1991",528693,
"Total 15-64","1991",1737047,
"Females 0-14","1991",257743,
"Females 15-64","1991",859922,
"Males 0-14","1991",270950,
"Males 15-64","1991",877125,
"Total 65 and over","1992",312702,
"Total population","1992",2542645,
"Females 65 and over","1992",213763,
"Females Total","1992",1310940,
"Males 65 and over","1992",98939,
"Males Total","1992",1231705,
"Average population","1992",2542643.5,
"Total 0-14","1992",511215,
"Total 15-64","1992",1718728,
"Females 0-14","1992",249448,
"Females 15-64","1992",847729,
"Males 0-14","1992",261767,
"Males 15-64","1992",870999,
"Total 65 and over","1993",316871,
"Total population","1993",2542642,
"Females 65 and over","1993",215365,
"Females Total","1993",1304274,
"Males 65 and over","1993",101506,
"Males Total","1993",1238368,
"Average population","1993",2540123.5,
"Total 0-14","1993",492510,
"Total 15-64","1993",1733261,
"Females 0-14","1993",240400,
"Females 15-64","1993",848509,
"Males 0-14","1993",252110,
"Males 15-64","1993",884752,
"Total 65 and over","1994",322463,
"Total population","1994",2537605,
"Females 65 and over","1994",217427,
"Females Total","1994",1297963,
"Males 65 and over","1994",105036,
"Males Total","1994",1239642,
"Average population","1994",2537176,
"Total 0-14","1994",471545,
"Total 15-64","1994",1743597,
"Females 0-14","1994",230170,
"Females 15-64","1994",850366,
"Males 0-14","1994",241375,
"Males 15-64","1994",893231,
"Total 65 and over","1995",330496,
"Total population","1995",2536747,
"Females 65 and over","1995",220322,
"Females Total","1995",1293943,
"Males 65 and over","1995",110174,
"Males Total","1995",1242804,
"Average population","1995",2539394.5,
"Total 0-14","1995",449515,
"Total 15-64","1995",1756736,
"Females 0-14","1995",219276,
"Females 15-64","1995",854345,
"Males 0-14","1995",230239,
"Males 15-64","1995",902391,
"Total 65 and over","1996",341009,
"Total population","1996",2542042,
"Females 65 and over","1996",224410,
"Females Total","1996",1293717,
"Males 65 and over","1996",116599,
"Males Total","1996",1248325,
"Average population","1996",2548241.5,
"Total 0-14","1996",428318,
"Total 15-64","1996",1772715,
"Females 0-14","1996",208871,
"Females 15-64","1996",860436,
"Males 0-14","1996",219447,
"Males 15-64","1996",912279,
"Total 65 and over","1997",349768,
"Total population","1997",2554441,
"Females 65 and over","1997",227510,
"Females Total","1997",1297228,
"Males 65 and over","1997",122258,
"Males Total","1997",1257213,
"Average population","1997",2563866,
"Total 0-14","1997",411200,
"Total 15-64","1997",1793473,
"Females 0-14","1997",200428,
"Females 15-64","1997",869290,
"Males 0-14","1997",210772,
"Males 15-64","1997",924183,
"Total 65 and over","1998",359637,
"Total population","1998",2573291,
"Females 65 and over","1998",231420,
"Females Total","1998",1306095,
"Males 65 and over","1998",128217,
"Males Total","1998",1267196,
"Average population","1998",2581833,
"Total 0-14","1998",395943,
"Total 15-64","1998",1817711,
"Females 0-14","1998",193161,
"Females 15-64","1998",881514,
"Males 0-14","1998",202782,
"Males 15-64","1998",936197,
"Total 65 and over","1999",369527,
"Total population","1999",2590375,
"Females 65 and over","1999",235289,
"Females Total","1999",1313857,
"Males 65 and over","1999",134238,
"Males Total","1999",1276518,
"Average population","1999",2595791,
"Total 0-14","1999",381501,
"Total 15-64","1999",1839347,
"Females 0-14","1999",186174,
"Females 15-64","1999",892394,
"Males 0-14","1999",195327,
"Males 15-64","1999",946953,
"Total 65 and over","2000",386430,
"Total population","2000",2601207,
"Females 65 and over","2000",242695,
"Females Total","2000",1318898,
"Males 65 and over","2000",143735,
"Males Total","2000",1282309,
"Average population","2000",2600500,
"Total 0-14","2000",366597,
"Total 15-64","2000",1848180,
"Females 0-14","2000",178767,
"Females 15-64","2000",897436,
"Males 0-14","2000",187830,
"Males 15-64","2000",950744,
"Total 65 and over","2001",404749,
"Total population","2001",2601962,
"Females 65 and over","2001",251106,
"Females Total","2001",1318530,
"Males 65 and over","2001",153643,
"Males Total","2001",1283432,
"Average population","2001",2596200,
"Total 0-14","2001",349757,
"Total 15-64","2001",1847456,
"Females 0-14","2001",170832,
"Females 15-64","2001",896592,
"Males 0-14","2001",178925,
"Males 15-64","2001",950864,
"Total 65 and over","2002",422955,
"Total population","2002",2593040,
"Females 65 and over","2002",259333,
"Females Total","2002",1312548,
"Males 65 and over","2002",163622,
"Males Total","2002",1280492,
"Average population","2002",2586400,
"Total 0-14","2002",331586,
"Total 15-64","2002",1838499,
"Females 0-14","2002",161583,
"Females 15-64","2002",891632,
"Males 0-14","2002",170003,
"Males 15-64","2002",946867,
"Total 65 and over","2003",440413,
"Total population","2003",2582379,
"Females 65 and over","2003",267067,
"Females Total","2003",1306234,
"Males 65 and over","2003",173346,
"Males Total","2003",1276145,
"Average population","2003",2578500,
"Total 0-14","2003",312928,
"Total 15-64","2003",1829038,
"Females 0-14","2003",152312,
"Females 15-64","2003",886855,
"Males 0-14","2003",160616,
"Males 15-64","2003",942183,
"Total 65 and over","2004",460011,
"Total population","2004",2574521,
"Females 65 and over","2004",276308,
"Females Total","2004",1301523,
"Males 65 and over","2004",183703,
"Males Total","2004",1272998,
"Average population","2004",2571100,
"Total 0-14","2004",296599,
"Total 15-64","2004",1817911,
"Females 0-14","2004",144520,
"Females 15-64","2004",880695,
"Males 0-14","2004",152079,
"Males 15-64","2004",937216,
"Total 65 and over","2005",483171,
"Total population","2005",2567704,
"Females 65 and over","2005",287423,
"Females Total","2005",1297357,
"Males 65 and over","2005",195748,
"Males Total","2005",1270347,
"Average population","2005",2563600,
"Total 0-14","2005",282996,
"Total 15-64","2005",1801537,
"Females 0-14","2005",137703,
"Females 15-64","2005",872231,
"Males 0-14","2005",145293,
"Males 15-64","2005",929306,
"Total 65 and over","2006",506252,
"Total population","2006",2559483,
"Females 65 and over","2006",298406,
"Females Total","2006",1292551,
"Males 65 and over","2006",207846,
"Males Total","2006",1266932,
"Average population","2006",2553600,
"Total 0-14","2006",272164,
"Total 15-64","2006",1781067,
"Females 0-14","2006",132490,
"Females 15-64","2006",861655,
"Males 0-14","2006",139674,
"Males 15-64","2006",919412,
"Total 65 and over","2007",528249,
"Total population","2007",2547772,
"Females 65 and over","2007",308724,
"Females Total","2007",1286122,
"Males 65 and over","2007",219525,
"Males Total","2007",1261650,
"Average population","2007",2541800,
"Total 0-14","2007",271671,
"Total 15-64","2007",1747852,
"Females 0-14","2007",131977,
"Females 15-64","2007",845421,
"Males 0-14","2007",139694,
"Males 15-64","2007",902431,
"Total 65 and over","2008",540915,
"Total population","2008",2535737,
"Females 65 and over","2008",314502,
"Females Total","2008",1279755,
"Males 65 and over","2008",226413,
"Males Total","2008",1255982,
"Average population","2008",2535737,
"Total 0-14","2008",275121,
"Total 15-64","2008",1719701,
"Females 0-14","2008",133637,
"Females 15-64","2008",831616,
"Males 0-14","2008",141484,
"Males 15-64","2008",888085,
"Total 65 and over","2009",554419,
"Total population","2009",2522493,
"Females 65 and over","2009",320514,
"Females Total","2009",1273181,
"Males 65 and over","2009",233905,
"Males Total","2009",1249312,
"Total 0-14","2009",280206,
"Total 15-64","2009",1687868,
"Females 0-14","2009",136296,
"Females 15-64","2009",816371,
"Males 0-14","2009",143910,
"Males 15-64","2009",871497,
"Total 65 and over","1990",107173,
"Total population","1990",673680,
"Females 65 and over","1990",69784,
"Females Total","1990",353002,
"Males 65 and over","1990",37389,
"Males Total","1990",320678,
"Average population","1990",677664,
"Total 0-14","1990",87270,
"Total 15-64","1990",467863,
"Females 0-14","1990",42730,
"Females 15-64","1990",232029,
"Males 0-14","1990",44540,
"Males 15-64","1990",235834,
"Total 65 and over","1991",119019,
"Total population","1991",681648,
"Females 65 and over","1991",78459,
"Females Total","1991",355431,
"Males 65 and over","1991",40560,
"Males Total","1991",326217,
"Average population","1991",682671,
"Total 0-14","1991",90082,
"Total 15-64","1991",472547,
"Females 0-14","1991",44085,
"Females 15-64","1991",232887,
"Males 0-14","1991",45997,
"Males 15-64","1991",239660,
"Total 65 and over","1992",119165,
"Total population","1992",683694,
"Females 65 and over","1992",78540,
"Females Total","1992",355462,
"Males 65 and over","1992",40625,
"Males Total","1992",328232,
"Average population","1992",684767,
"Total 0-14","1992",91452,
"Total 15-64","1992",473077,
"Females 0-14","1992",44715,
"Females 15-64","1992",232207,
"Males 0-14","1992",46737,
"Males 15-64","1992",240870,
"Total 65 and over","1993",119371,
"Total population","1993",685840,
"Females 65 and over","1993",78489,
"Females Total","1993",355858,
"Males 65 and over","1993",40882,
"Males Total","1993",329982,
"Average population","1993",684468.5,
"Total 0-14","1993",92800,
"Total 15-64","1993",473669,
"Females 0-14","1993",45328,
"Females 15-64","1993",232041,
"Males 0-14","1993",47472,
"Males 15-64","1993",241628,
"Total 65 and over","1994",119641,
"Total population","1994",683097,
"Females 65 and over","1994",78211,
"Females Total","1994",354190,
"Males 65 and over","1994",41430,
"Males Total","1994",328907,
"Average population","1994",681563,
"Total 0-14","1994",93295,
"Total 15-64","1994",470161,
"Females 0-14","1994",45591,
"Females 15-64","1994",230388,
"Males 0-14","1994",47704,
"Males 15-64","1994",239773,
"Total 65 and over","1995",119934,
"Total population","1995",680029,
"Females 65 and over","1995",78005,
"Females Total","1995",352697,
"Males 65 and over","1995",41929,
"Males Total","1995",327332,
"Average population","1995",679893,
"Total 0-14","1995",93726,
"Total 15-64","1995",466369,
"Females 0-14","1995",45817,
"Females 15-64","1995",228875,
"Males 0-14","1995",47909,
"Males 15-64","1995",237494,
"Total 65 and over","1996",120239,
"Total population","1996",679757,
"Females 65 and over","1996",77786,
"Females Total","1996",352434,
"Males 65 and over","1996",42453,
"Males Total","1996",327323,
"Average population","1996",678763.5,
"Total 0-14","1996",94289,
"Total 15-64","1996",465229,
"Females 0-14","1996",46189,
"Females 15-64","1996",228459,
"Males 0-14","1996",48100,
"Males 15-64","1996",236770,
"Total 65 and over","1997",119921,
"Total population","1997",677770,
"Females 65 and over","1997",77263,
"Females Total","1997",351129,
"Males 65 and over","1997",42658,
"Males Total","1997",326641,
"Average population","1997",675826.5,
"Total 0-14","1997",94286,
"Total 15-64","1997",463563,
"Females 0-14","1997",46061,
"Females 15-64","1997",227805,
"Males 0-14","1997",48225,
"Males 15-64","1997",235758,
"Total 65 and over","1998",119411,
"Total population","1998",673883,
"Females 65 and over","1998",76654,
"Females Total","1998",348944,
"Males 65 and over","1998",42757,
"Males Total","1998",324939,
"Average population","1998",670924,
"Total 0-14","1998",93901,
"Total 15-64","1998",460571,
"Females 0-14","1998",45819,
"Females 15-64","1998",226471,
"Males 0-14","1998",48082,
"Males 15-64","1998",234100,
"Total 65 and over","1999",118678,
"Total population","1999",667965,
"Females 65 and over","1999",75739,
"Females Total","1999",345937,
"Males 65 and over","1999",42939,
"Males Total","1999",322028,
"Average population","1999",665515,
"Total 0-14","1999",93088,
"Total 15-64","1999",456199,
"Females 0-14","1999",45364,
"Females 15-64","1999",224834,
"Males 0-14","1999",47724,
"Males 15-64","1999",231365,
"Total 65 and over","2000",119708,
"Total population","2000",663065,
"Females 65 and over","2000",75814,
"Females Total","2000",343635,
"Males 65 and over","2000",43894,
"Males Total","2000",319430,
"Average population","2000",661500,
"Total 0-14","2000",92795,
"Total 15-64","2000",450562,
"Females 0-14","2000",45161,
"Females 15-64","2000",222660,
"Males 0-14","2000",47634,
"Males 15-64","2000",227902,
"Total 65 and over","2001",121513,
"Total population","2001",660225,
"Females 65 and over","2001",76298,
"Females Total","2001",341958,
"Males 65 and over","2001",45215,
"Males Total","2001",318267,
"Average population","2001",660300,
"Total 0-14","2001",92141,
"Total 15-64","2001",446571,
"Females 0-14","2001",44811,
"Females 15-64","2001",220849,
"Males 0-14","2001",47330,
"Males 15-64","2001",225722,
"Total 65 and over","2002",123854,
"Total population","2002",659651,
"Females 65 and over","2002",76976,
"Females Total","2002",341264,
"Males 65 and over","2002",46878,
"Males Total","2002",318387,
"Average population","2002",660100,
"Total 0-14","2002",91489,
"Total 15-64","2002",444308,
"Females 0-14","2002",44487,
"Females 15-64","2002",219801,
"Males 0-14","2002",47002,
"Males 15-64","2002",224507,
"Total 65 and over","2003",126333,
"Total population","2003",662098,
"Females 65 and over","2003",77817,
"Females Total","2003",342158,
"Males 65 and over","2003",48516,
"Males Total","2003",319940,
"Average population","2003",662600,
"Total 0-14","2003",90792,
"Total 15-64","2003",444973,
"Females 0-14","2003",44015,
"Females 15-64","2003",220326,
"Males 0-14","2003",46777,
"Males 15-64","2003",224647,
"Total 65 and over","2004",129091,
"Total population","2004",663129,
"Females 65 and over","2004",78813,
"Females Total","2004",342314,
"Males 65 and over","2004",50278,
"Males Total","2004",320815,
"Average population","2004",663200,
"Total 0-14","2004",89536,
"Total 15-64","2004",444502,
"Females 0-14","2004",43480,
"Females 15-64","2004",220021,
"Males 0-14","2004",46056,
"Males 15-64","2004",224481,
"Total 65 and over","2005",132244,
"Total population","2005",663213,
"Females 65 and over","2005",80041,
"Females Total","2005",342007,
"Males 65 and over","2005",52203,
"Males Total","2005",321206,
"Average population","2005",663300,
"Total 0-14","2005",87992,
"Total 15-64","2005",442977,
"Females 0-14","2005",42610,
"Females 15-64","2005",219356,
"Males 0-14","2005",45382,
"Males 15-64","2005",223621,
"Total 65 and over","2006",135454,
"Total population","2006",663467,
"Females 65 and over","2006",81057,
"Females Total","2006",341989,
"Males 65 and over","2006",54397,
"Males Total","2006",321478,
"Average population","2006",663700,
"Total 0-14","2006",86651,
"Total 15-64","2006",441362,
"Females 0-14","2006",41980,
"Females 15-64","2006",218952,
"Males 0-14","2006",44671,
"Males 15-64","2006",222410,
"Total 65 and over","2007",138242,
"Total population","2007",663979,
"Females 65 and over","2007",82030,
"Females Total","2007",341676,
"Males 65 and over","2007",56212,
"Males Total","2007",322303,
"Average population","2007",663500,
"Total 0-14","2007",85158,
"Total 15-64","2007",440579,
"Females 0-14","2007",41146,
"Females 15-64","2007",218500,
"Males 0-14","2007",44012,
"Males 15-64","2007",222079,
"Total 65 and over","2008",139855,
"Total population","2008",663082,
"Females 65 and over","2008",82473,
"Females Total","2008",341178,
"Males 65 and over","2008",57382,
"Males Total","2008",321904,
"Average population","2008",663082,
"Total 0-14","2008",84177,
"Total 15-64","2008",439050,
"Females 0-14","2008",40752,
"Females 15-64","2008",217953,
"Males 0-14","2008",43425,
"Males 15-64","2008",221097,
"Total 65 and over","2009",141427,
"Total population","2009",661866,
"Females 65 and over","2009",82797,
"Females Total","2009",340052,
"Males 65 and over","2009",58630,
"Males Total","2009",321814,
"Total 0-14","2009",83235,
"Total 15-64","2009",437204,
"Females 0-14","2009",40304,
"Females 15-64","2009",216951,
"Males 0-14","2009",42931,
"Males 15-64","2009",220253,
"Total 65 and over","1990",261778,
"Total population","1990",1626222,
"Females 65 and over","1990",172449,
"Females Total","1990",859053,
"Males 65 and over","1990",89329,
"Males Total","1990",767169,
"Average population","1990",1639291,
"Total 0-14","1990",200608,
"Total 15-64","1990",1134779,
"Females 0-14","1990",97322,
"Females 15-64","1990",567478,
"Males 0-14","1990",103286,
"Males 15-64","1990",567301,
"Total 65 and over","1991",290787,
"Total population","1991",1652360,
"Females 65 and over","1991",194138,
"Females Total","1991",867875,
"Males 65 and over","1991",96649,
"Males Total","1991",784485,
"Average population","1991",1660559,
"Total 0-14","1991",209348,
"Total 15-64","1991",1152225,
"Females 0-14","1991",101590,
"Females 15-64","1991",572147,
"Males 0-14","1991",107758,
"Males 15-64","1991",580078,
"Total 65 and over","1992",289945,
"Total population","1992",1668758,
"Females 65 and over","1992",193340,
"Females Total","1992",873630,
"Males 65 and over","1992",96605,
"Males Total","1992",795128,
"Average population","1992",1678773.5,
"Total 0-14","1992",215402,
"Total 15-64","1992",1163411,
"Females 0-14","1992",104487,
"Females 15-64","1992",575803,
"Males 0-14","1992",110915,
"Males 15-64","1992",587608,
"Total 65 and over","1993",289517,
"Total population","1993",1688789,
"Females 65 and over","1993",192192,
"Females Total","1993",879216,
"Males 65 and over","1993",97325,
"Males Total","1993",809573,
"Average population","1993",1695839,
"Total 0-14","1993",221440,
"Total 15-64","1993",1177832,
"Females 0-14","1993",107351,
"Females 15-64","1993",579673,
"Males 0-14","1993",114089,
"Males 15-64","1993",598159,
"Total 65 and over","1994",290344,
"Total population","1994",1702889,
"Females 65 and over","1994",191562,
"Females Total","1994",884634,
"Males 65 and over","1994",98782,
"Males Total","1994",818255,
"Average population","1994",1704380.5,
"Total 0-14","1994",225459,
"Total 15-64","1994",1187086,
"Females 0-14","1994",109354,
"Females 15-64","1994",583718,
"Males 0-14","1994",116105,
"Males 15-64","1994",603368,
"Total 65 and over","1995",290454,
"Total population","1995",1705872,
"Females 65 and over","1995",190287,
"Females Total","1995",885430,
"Males 65 and over","1995",100167,
"Males Total","1995",820442,
"Average population","1995",1706886.5,
"Total 0-14","1995",227444,
"Total 15-64","1995",1187974,
"Females 0-14","1995",110293,
"Females 15-64","1995",584850,
"Males 0-14","1995",117151,
"Males 15-64","1995",603124,
"Total 65 and over","1996",290255,
"Total population","1996",1707901,
"Females 65 and over","1996",188949,
"Females Total","1996",885278,
"Males 65 and over","1996",101306,
"Males Total","1996",822623,
"Average population","1996",1707943.5,
"Total 0-14","1996",228169,
"Total 15-64","1996",1189477,
"Females 0-14","1996",110553,
"Females 15-64","1996",585776,
"Males 0-14","1996",117616,
"Males 15-64","1996",603701,
"Total 65 and over","1997",288341,
"Total population","1997",1707986,
"Females 65 and over","1997",186807,
"Females Total","1997",884085,
"Males 65 and over","1997",101534,
"Males Total","1997",823901,
"Average population","1997",1706358.5,
"Total 0-14","1997",228967,
"Total 15-64","1997",1190678,
"Females 0-14","1997",110598,
"Females 15-64","1997",586680,
"Males 0-14","1997",118369,
"Males 15-64","1997",603998,
"Total 65 and over","1998",285860,
"Total population","1998",1704731,
"Females 65 and over","1998",184216,
"Females Total","1998",881551,
"Males 65 and over","1998",101644,
"Males Total","1998",823180,
"Average population","1998",1702410,
"Total 0-14","1998",229473,
"Total 15-64","1998",1189398,
"Females 0-14","1998",111076,
"Females 15-64","1998",586259,
"Males 0-14","1998",118397,
"Males 15-64","1998",603139,
"Total 65 and over","1999",283361,
"Total population","1999",1700089,
"Females 65 and over","1999",181553,
"Females Total","1999",878550,
"Males 65 and over","1999",101808,
"Males Total","1999",821539,
"Average population","1999",1702412,
"Total 0-14","1999",229322,
"Total 15-64","1999",1187406,
"Females 0-14","1999",111233,
"Females 15-64","1999",585764,
"Males 0-14","1999",118089,
"Males 15-64","1999",601642,
"Total 65 and over","2000",284731,
"Total population","2000",1704735,
"Females 65 and over","2000",181545,
"Females Total","2000",880049,
"Males 65 and over","2000",103186,
"Males Total","2000",824686,
"Average population","2000",1710300,
"Total 0-14","2000",230558,
"Total 15-64","2000",1189446,
"Females 0-14","2000",112008,
"Females 15-64","2000",586496,
"Males 0-14","2000",118550,
"Males 15-64","2000",602950,
"Total 65 and over","2001",289678,
"Total population","2001",1715392,
"Females 65 and over","2001",182861,
"Females Total","2001",884167,
"Males 65 and over","2001",106817,
"Males Total","2001",831225,
"Average population","2001",1721000,
"Total 0-14","2001",231788,
"Total 15-64","2001",1193926,
"Females 0-14","2001",112592,
"Females 15-64","2001",588714,
"Males 0-14","2001",119196,
"Males 15-64","2001",605212,
"Total 65 and over","2002",294825,
"Total population","2002",1726363,
"Females 65 and over","2002",184297,
"Females Total","2002",888637,
"Males 65 and over","2002",110528,
"Males Total","2002",837726,
"Average population","2002",1727400,
"Total 0-14","2002",232284,
"Total 15-64","2002",1199254,
"Females 0-14","2002",112915,
"Females 15-64","2002",591425,
"Males 0-14","2002",119369,
"Males 15-64","2002",607829,
"Total 65 and over","2003",299114,
"Total population","2003",1728806,
"Females 65 and over","2003",184934,
"Females Total","2003",889800,
"Males 65 and over","2003",114180,
"Males Total","2003",839006,
"Average population","2003",1731400,
"Total 0-14","2003",231314,
"Total 15-64","2003",1198378,
"Females 0-14","2003",112561,
"Females 15-64","2003",592305,
"Males 0-14","2003",118753,
"Males 15-64","2003",606073,
"Total 65 and over","2004",305251,
"Total population","2004",1734083,
"Females 65 and over","2004",186729,
"Females Total","2004",891496,
"Males 65 and over","2004",118522,
"Males Total","2004",842587,
"Average population","2004",1734500,
"Total 0-14","2004",229256,
"Total 15-64","2004",1199576,
"Females 0-14","2004",111420,
"Females 15-64","2004",593347,
"Males 0-14","2004",117836,
"Males 15-64","2004",606229,
"Total 65 and over","2005",310915,
"Total population","2005",1734830,
"Females 65 and over","2005",188431,
"Females Total","2005",891250,
"Males 65 and over","2005",122484,
"Males Total","2005",843580,
"Average population","2005",1739200,
"Total 0-14","2005",227339,
"Total 15-64","2005",1196576,
"Females 0-14","2005",110575,
"Females 15-64","2005",592244,
"Males 0-14","2005",116764,
"Males 15-64","2005",604332,
"Total 65 and over","2006",318622,
"Total population","2006",1743627,
"Females 65 and over","2006",191341,
"Females Total","2006",894160,
"Males 65 and over","2006",127281,
"Males Total","2006",849467,
"Average population","2006",1748900,
"Total 0-14","2006",225724,
"Total 15-64","2006",1199281,
"Females 0-14","2006",110058,
"Females 15-64","2006",592761,
"Males 0-14","2006",115666,
"Males 15-64","2006",606520,
"Total 65 and over","2007",325639,
"Total population","2007",1754182,
"Females 65 and over","2007",193617,
"Females Total","2007",898050,
"Males 65 and over","2007",132022,
"Males Total","2007",856132,
"Average population","2007",1762400,
"Total 0-14","2007",224936,
"Total 15-64","2007",1203607,
"Females 0-14","2007",109556,
"Females 15-64","2007",594877,
"Males 0-14","2007",115380,
"Males 15-64","2007",608730,
"Total 65 and over","2008",330015,
"Total population","2008",1770629,
"Females 65 and over","2008",194782,
"Females Total","2008",904770,
"Males 65 and over","2008",135233,
"Males Total","2008",865859,
"Average population","2008",1770629,
"Total 0-14","2008",225450,
"Total 15-64","2008",1215164,
"Females 0-14","2008",109708,
"Females 15-64","2008",600280,
"Males 0-14","2008",115742,
"Males 15-64","2008",614884,
"Total 65 and over","2009",333354,
"Total population","2009",1772100,
"Females 65 and over","2009",195379,
"Females Total","2009",906179,
"Males 65 and over","2009",137975,
"Males Total","2009",865921,
"Total 0-14","2009",226044,
"Total 15-64","2009",1212702,
"Females 0-14","2009",110090,
"Females 15-64","2009",600710,
"Males 0-14","2009",115954,
"Males 15-64","2009",611992,
"Total 65 and over","1990",798759,
"Total population","1990",5660620,
"Females 65 and over","1990",510945,
"Females Total","1990",2919239,
"Males 65 and over","1990",287814,
"Males Total","1990",2741381,
"Average population","1990",5711956.5,
"Total 0-14","1990",823337,
"Total 15-64","1990",3956671,
"Females 0-14","1990",400347,
"Females 15-64","1990",1947648,
"Males 0-14","1990",422990,
"Males 15-64","1990",2009023,
"Total 65 and over","1991",891986,
"Total population","1991",5763293,
"Females 65 and over","1991",576797,
"Females Total","1991",2959622,
"Males 65 and over","1991",315189,
"Males Total","1991",2803671,
"Average population","1991",5800316,
"Total 0-14","1991",852276,
"Total 15-64","1991",4019031,
"Females 0-14","1991",414475,
"Females 15-64","1991",1968350,
"Males 0-14","1991",437801,
"Males 15-64","1991",2050681,
"Total 65 and over","1992",903012,
"Total population","1992",5837339,
"Females 65 and over","1992",581404,
"Females Total","1992",2990053,
"Males 65 and over","1992",321608,
"Males Total","1992",2847286,
"Average population","1992",5880008.5,
"Total 0-14","1992",874202,
"Total 15-64","1992",4060125,
"Females 0-14","1992",425131,
"Females 15-64","1992",1983518,
"Males 0-14","1992",449071,
"Males 15-64","1992",2076607,
"Total 65 and over","1993",913892,
"Total population","1993",5922678,
