"","actual_change.BA","change_pct.BA","sim_change","sim_change_due_to_workforce","sim_pct"
"1",479628,0.109472092750956,408098,55867,0.136896039676744
"2",-373604,-0.0768588755724495,389593,61719,0.158419170775656
"3",-727233,-0.162064535394853,394776,65146,0.165020163333131
"4",-501621,-0.133407285817931,396080,66135,0.166973843667946
"5",156094,0.0479043570088978,397273,66706,0.1679097245471
"6",-176124,-0.0515805180485248,421359,93058,0.220852052525281
"7",NA,NA,417692,91566,0.21921894601764
