"","actual_change.BA","change_pct.BA","sim_change","sim_change_due_to_workforce","sim_pct"
"1",479628,0.109472092750956,408098,55867,0.136896039676744
"2",-373604,-0.0768588755724495,515861,75689,0.146723632916619
"3",-727233,-0.162064535394853,615943,90763,0.147356167697336
"4",-501621,-0.133407285817931,707180,102421,0.144830170536497
"5",156094,0.0479043570088978,794029,113688,0.143178649646298
"6",-176124,-0.0515805180485248,918654,171874,0.187093290836376
"7",NA,NA,990242,181843,0.183634909446378
